City,census_name,State,state_full,fips_code,Country,uuid,Year,Community Survey - Network,Community Survey - Awareness,Community Survey - Safety,Community Survey - Ridership,Community Score - Total,"Community Score - Total, Rounded",Community Survey - Responses,BNA - neighborhoods,BNA - opportunity_employment,BNA - opportunity_k12_education,BNA - opportunity_technical_vocational_college,BNA - opportunity_higher_education,BNA - opportunity,BNA - essential_services_doctors,BNA - essential_services_dentists,BNA - essential_services_hospitals,BNA - essential_services_pharmacies,BNA - essential_services_grocery,BNA - essential_services_social_services,BNA - essential_services,BNA - retail,BNA - recreation_parks,BNA - recreation_trails,BNA - recreation_community_centers,BNA - recreation,BNA - transit,BNA - overall_score,total_low_stress_miles,total_high_stress_miles,city_ratings_total,city_ratings_rounded,population,rank_country,pop_size,rank_country_size,rank_state_size,speed_limit,region,latitude,longitude
Portsmouth,Portsmouth city,NH,New Hampshire,3362900,United States,76d4115a-b0f4-4a62-a38f-d437d3420edb,2021,55.99,48.776,40.04,79.036,55.9605,56,32,21.68,17.66,20.46,1.99,0,13.54,14.9,23.34,4.28,3.85,16.17,0,10.6,3.7,32.14,7.83,1.79,16.04,2.81,11.46,67.3,218.1,20.3601,20,21775,467,small,206,2,30,New England,43.0605935,-70.7803494
Warminster,Warminster township,PA,Pennsylvania,4280952,United States,763e4ca0-bc2e-49ee-bd12-6b3acd7d903b,2021,38.272,23.828,41.436,62.038,41.3935,41,27,27.12,17.71,37.88,0,27.96,27.83,18.24,9.81,0,24.38,17.99,3.64,15.14,40.91,52.02,0,1.7,32.67,14.98,25.95,224.4,46,29.0387,29,32489,269,small,118,10,25,Mid-Atlantic,40.2068,-75.0998
Halifax,,NS,Nova Scotia,,Canada,7613076e-6428-4754-a12b-cb5b8ab94f26,2021,50.21,51.8,44.6,75.6,55.55,56,157,29.31,,52.6,20.3,20.51,38.13,37.6,26.48,21.95,41.03,48.3,48.41,38,31.77,72.04,15.53,30.55,41.89,25,34,221,532,38.646,39,153723,24,medium,15,1,31,Canada,44.6488,-63.5752
Beaverton,Beaverton city,OR,Oregon,4105350,United States,75c79ef5-a7ff-435d-88c8-e6fe6635a55e,2021,60.216,38.83,44.658,71.572,53.819,54,62,24.35,20.9,45.97,21.21,6.24,26.77,35.2,31.63,12.38,21.8,39.74,25.85,28.67,42.15,63.28,41.84,22.97,45.7,4.98,28.67,520.3,214.4,33.6998,34,97861,194,medium,84,5,25,Pacific,45.4777641,-122.816897
Northville,Northville city,MI,Michigan,2658980,United States,7574ee9b-6bdf-48bc-98d4-df04f2fc7fa3,2021,34.226,39.256,45.536,74.404,48.3555,48,28,31.94,37.54,65.09,0,0,51.32,0,0,0,23.86,57.91,0,25.94,55.47,72.26,50.08,42.18,56.98,0,43.66,60.8,15.2,44.5991,45,6007,70,small,42,6,25,Midwest,42.4362051,-83.488283
Vincent,,WA,Western Australia,,Australia,756bb11f-5d02-45fe-885a-06b7315294ab,2021,50.36,44.8,44.2,81.6,55.29,55,23,18.4,,34.54,20.13,22.5,28.77,26.54,11.51,18.94,31.18,43.71,17.97,26.99,56.93,67.39,26.65,14.52,39.91,23.46,32,32.4,45180,36.626,37,33693,16,small,8,2,31,Australia,-31.9319,115.8463
Detroit,Detroit city,MI,Michigan,2622000,United States,75438e3e-c5c6-4c84-ad49-76bd7d1204f6,2021,55.794,55.674,47.024,75.654,58.5365,59,105,47.96,31.46,67.83,35.44,33.29,44.95,28.47,22.57,24.5,31.28,41.59,41.31,32.57,69.36,68.14,31.88,29.16,45.7,8.85,41.28,4199.8,1366.7,44.7313,45,674841,69,large,9,1,25,Midwest,42.3830375,-83.1022365
Philadelphia,Philadelphia city,PA,Pennsylvania,4260000,United States,74568bdb-6e5c-4522-8e6a-b4bfd0394cd6,2021,57.334,60.884,47.972,77.448,60.9095,61,342,47.44,36.42,67.15,40.98,40.34,48.42,40,17.52,41.31,48.89,60.18,64.14,47.57,49.66,65.47,21.09,41.2,43.87,46.58,47.33,3512.1,1209.6,50.0459,50,1579075,41,large,7,1,25,Mid-Atlantic,40.0093755,-75.1333459
Wollongong,,NSW,New South Wales,,Australia,73cc2c52-21b5-4694-86af-91ad05c5f8c2,2021,38.25,38.6,48.6,72.8,49.55,50,117,28.07,,40.61,10.63,14.67,28.33,15.63,0,21.2,16.74,26.17,16.25,20.02,32.95,63.37,21.91,15.69,36.94,26.74,28,535.1,1458.2,32.614,33,203630,25,medium,15,4,31,Australia,-34.4248,150.8931
Broken Arrow,Broken Arrow city,OK,Oklahoma,4009050,United States,73b70a22-159a-4fb8-8f8a-7f568ba7a63d,2021,31.278,38.788,43.832,54.6,42.1245,42,77,24.09,17.93,28.57,6.98,10.16,19.01,11.71,4.63,7.02,9.93,17.49,17.4,12.18,11.46,40.17,8.59,14.8,22.77,0,17.63,920.1,425,22.5289,23,108496,413,medium,183,3,25,South,36.0365287,-95.7809963
Miami,Miami city,FL,Florida,1245000,United States,737ea23b-2b5b-4cf2-86df-76ce8c4bbc3f,2021,45.398,36.144,50.466,65.578,49.3965,49,134,4.24,2.22,13.03,2.57,1.58,5.91,1.05,0.81,3.8,2.54,4.91,0,2.53,4.24,9.48,3.23,0.49,5.05,4.26,4.36,121.3,1543,13.3673,13,454279,633,large,69,3,30,South,25.775163,-80.2086152
Salem,Salem city,OR,Oregon,4164900,United States,734a2d71-096a-411b-b150-b7808e549ea0,2021,51.852,38.148,43.502,74.206,51.927,52,126,19.14,10.86,28.95,12.62,7.29,16.65,3.92,4.11,6,3.61,13.82,3.7,6.77,18.2,43.13,7.08,4.37,20.82,6.96,14.45,943.2,416.5,21.9454,22,169259,427,medium,189,8,25,Pacific,44.9238996,-123.0230068
Vancouver,Vancouver city,WA,Washington,5374060,United States,726c4d2c-a0ae-4590-81f8-fbcf83f8fa7b,2021,50.198,41.042,45.834,66.22,50.8235,51,84,39.62,33.65,51.07,36.43,0,41.62,21.97,31.05,38.26,17.06,37.7,40.03,32.29,56.33,67.75,40.52,23.03,47.04,24.12,39.85,1059.5,374.4,42.0447,42,180556,83,medium,28,2,25,Pacific,45.6372364,-122.5965165
Ponte Vedra,,FL,Florida,1292795,United States,717babf7-0957-4d88-ae28-b542b3c8b076,2021,53.12,50.2,34.4,73,52.66,53,8,35.01,34.35,15.28,0,0,24.82,23.55,23.16,0,0,30.82,0,17.33,24.48,44.59,21.16,0.72,25.42,0,24.9,46.3,383.3,30.452,30,30958,246,small,109,3,30,South,30.1993515,-81.3792895
Fitchburg,Fitchburg city,WI,Wisconsin,5525950,United States,712781d3-184d-427b-a944-33e59ae96014,2021,65.124,63.58,39.12,81.25,62.2685,62,27,53.49,52.9,49.29,0,0,44.71,48.64,39.23,0,45.62,40.19,38.66,42.57,42.05,75.74,71.55,12.59,58.49,0,40.56,318.9,143.4,44.9017,45,29450,67,small,40,6,25,Midwest,42.9857823,-89.4253343
Bethlehem,Bethlehem city,PA,Pennsylvania,4206088,United States,70f8adaa-c498-4058-95b2-37225fe15a85,2021,49.276,37.946,41.758,75.634,51.1535,51,69,25.99,18.69,42.64,15.36,24.72,27.95,31.4,18.31,6.55,27.44,35.24,32.14,25.8,15.11,53.72,8.98,13.26,27.95,23.86,24.69,381.6,155.5,29.9827,30,75461,255,medium,109,2,25,Mid-Atlantic,40.6264238,-75.3678976
West Jordan,West Jordan city,UT,Utah,4982950,United States,709393cc-dc08-4f8f-af0a-34d496a18d37,2021,45.988,30.052,48.302,62.654,46.749,47,81,20.65,13.41,29.14,5.33,0,19.28,9.5,2.92,4.1,6.08,13.61,8.08,8.23,19.19,56.7,26.02,2.92,32.52,9.34,17.76,658.5,187.5,23.5578,24,114138,395,medium,175,5,25,Mountain,40.6024469,-112.0007652
Charles Sturt,,SA,South Australia,,Australia,7090cf21-777e-4d8e-98bc-fa8c5ebc719a,2021,44.72,37,46.6,74.4,50.71,51,82,18.49,,31.77,3.05,16.64,22.92,23.87,17.08,13.77,14.67,47.03,14.07,24.57,36.3,68.29,21.53,14.06,38.37,22.13,27,194.3,687.9,31.574,32,111759,26,medium,16,1,31,Australia,-35.0569,147.3513
Longmont,Longmont city,CO,Colorado,845970,United States,700927cd-8146-4bbd-b0e3-fce8ca017991,2021,57.052,50.898,44.424,83.044,58.8545,59,65,43.26,28.64,41.2,10.45,0,31.86,16.14,26.58,23.97,29.13,44.52,20.41,27.78,32.59,66.52,58.49,19.4,51.93,0,36.58,720.2,167.2,41.0349,41,94445,93,medium,35,3,25,Mountain,40.1698416,-105.0990063
Casper,Casper city,WY,Wyoming,5613150,United States,6f427229-c2a9-4410-b3d3-87d2448e0495,2021,44.792,40.446,44.754,74.182,51.0435,51,56,7.66,4.78,9.12,4.15,0,6.6,4.6,2.39,2.64,1.85,2.31,3.47,2.97,3.63,7.44,2.55,0,5.16,0,5.15,53.9,631,14.3287,14,58446,614,medium,271,2,30,Mountain,42.8421007,-106.3205239
Redlands,Redlands city,CA,California,659962,United States,6f2d7f57-be9b-46b6-99fd-aea0ce70784c,2021,51.456,52.408,43.948,68.254,54.0165,54,63,27.16,15.59,38.1,0,11.82,21.16,18.29,14.72,13.9,11.88,14.84,8.82,14.13,28.91,49.54,9.58,5.9,24.64,4.66,19.86,500.7,228.2,26.6913,27,71198,327,medium,148,26,25,Pacific,34.0535056,-117.1704758
Oakland,Oakland city,CA,California,653000,United States,6ed03e60-7927-4164-b373-79a912cf0e3f,2021,59.63,64.12,47.812,79.098,62.665,63,180,33.64,22.22,60.8,16.55,19.65,34.64,32.34,18.45,31.25,33.26,48.64,39.21,35.93,33.66,61.46,2.36,25.32,31.74,20.99,32.12,1384.1,596.9,38.229,38,425097,129,large,17,2,25,Pacific,37.7698464,-122.22569
Groningen,,GR,Groningen,,Netherlands,6e4d5997-f435-43f1-895a-aeea6daade23,2021,73.71,42.2,30.6,83.2,57.38,57,103,90.7,,92.51,92.45,91.24,92.12,92.75,93.16,84.88,90.28,95.17,92.53,91.54,88.54,91.76,97.14,92.96,93.94,88.72,91.02,846.1,333.6,84.292,84,231299,,medium,,,,Europe,53.2194,6.5665
Doylestown,Doylestown borough,PA,Pennsylvania,4219784,United States,6e3d707d-6add-4df6-b60f-8281c3fb724c,2021,50.378,45.366,42.708,70.834,52.3215,52,66,21.41,25.88,30.38,0,19.92,26.31,41.44,21.39,27.86,17.82,39.33,40.86,33.74,13.19,58.31,32.89,18.68,39.51,13.67,25.18,56.5,20.1,30.6083,31,8286,240,small,104,9,25,Mid-Atlantic,40.3141965,-75.1276974
Liverpool,,NSW,New South Wales,,Australia,6e029c78-692c-411e-a4ca-bcb893979859,2021,49.24,32.6,49.2,66,49.21,49,22,23.11,,44.68,16.12,27.29,35.18,26.88,26.03,7.59,24.11,34.51,0,20.54,42.28,68.04,34.74,19.28,44.2,15.5,30,221.9,998.8,33.77,34,204326,20,medium,12,2,31,Australia,-33.9286,150.918
Firthcliffe,,NY,New York,3625857,United States,6dd39e31-5d2b-48d0-b0e1-584a9ee50612,2021,0,0,0,0,0,0,0,17.25,15.21,24.33,0,0,19.77,17.76,0,15.61,5.24,6.89,9.65,11.52,2.62,35.71,0,0,19.05,0,14.23,0,66.4,14.23,14,4912,618,small,276,12,30,Mid-Atlantic,41.4420482,-74.0330718
Newcastle,,NSW,New South Wales,,Australia,6da2df81-f8d9-444b-9fc1-9a2629620a30,2021,34.66,39,45.4,80,49.79,50,94,21.49,,44.34,8.12,11.41,29.03,25.97,11.27,19.75,23.21,33.81,22.98,24.49,40.39,67.81,18.65,10.91,36.38,21.26,29,276.7,1066.4,32.862,33,155411,24,medium,14,3,31,Australia,-32.9283,151.7817
Eureka,Eureka city,CA,California,623042,United States,6d7aef37-440f-4f32-ae31-72df228662d1,2021,49.358,41.924,45.994,73.238,52.6285,53,39,25.11,21.61,33.63,0,0,27.62,7.28,14,4.65,12.67,38.03,13.91,16.65,16.73,37.9,0,2.82,24.41,0,22.11,179.9,100,28.2137,28,26966,289,small,127,22,25,Pacific,40.7934006,-124.1552459
Glen Burnie,Glen Burnie CDP,MD,Maryland,2432650,United States,6cd5f999-18c5-4909-9e8c-1ada628aaf4d,2021,49.404,30.892,45.536,58.334,46.0415,46,28,13.85,12.33,24.59,0,0,18.46,2.41,0,5.62,4.87,15.19,15.76,9.17,20.56,26.79,13.59,13.69,18.9,3.11,13.99,59.9,445,20.4003,20,69872,466,medium,207,7,30,Mid-Atlantic,39.1562712,-76.6069956
Birmingham,,ENG,England,,England,6c65ac11-b07a-4ba3-8b87-7849a67854be,2021,38.7,38.2,44.4,72.6,48.46,48,132,24.72,,60.9,26.42,21.52,43.91,38.85,25.3,36.58,45.73,58.77,29.18,41.26,60.05,58.39,32.41,21.51,40.08,25.83,39.64,2528.4,1088.6,41.404,41,1139249,,large,,,,Europe,52.4862,-1.8904
Kearney,Kearney city,NE,Nebraska,3125055,United States,6b630ba6-8182-4561-87dd-b0873f97b415,2021,43.604,37.714,41.424,73.208,48.9875,49,43,24.4,18.4,26.68,0,35.26,25.37,16.09,15.52,6.78,12.76,24.65,16.16,15.99,17.65,31.38,23.38,0,27.65,0,22.03,289.4,137,27.4215,27,33464,311,small,132,2,25,Midwest,40.7007436,-99.0847092
Adelaide,,SA,South Australia,,Australia,6ab9a90b-23a2-4a2f-93e5-ff01c47c8356,2021,48.9,50.2,50.4,77.8,56.87,57,53,23.12,,54.53,35.52,38.04,46.73,37.51,29.34,52.35,39.54,53.47,29.18,42.6,30.38,69.92,51.55,21.97,51.5,47.11,41,124.2,140.2,43.918,44,22063,8,small,5,1,31,Australia,-34.9285,138.6007
Lancaster,Lancaster city,PA,Pennsylvania,4241216,United States,6a1896cd-9ec8-4316-ac77-5e1c2f48208f,2021,54.694,48.686,41.814,75.382,55.144,55,71,24.83,17.67,48.04,31.98,18.96,29.99,13.45,0.43,11.1,18.67,11.12,9.59,11.04,9.88,47.65,0,5.41,31.4,0.54,18.2,124.5,76.6,25.5888,26,59433,354,medium,160,5,25,Mid-Atlantic,40.0420608,-76.3009901
Pocatello,Pocatello city,ID,Idaho,1664090,United States,69d22e78-dc6a-4f0f-9c4a-b8d3da39aa4a,2021,44.154,45.398,48.228,78.016,53.949,54,67,10.09,5.4,8.4,0,10.62,7.73,2.72,3.39,3.92,0.09,2.87,3.45,2.91,0,22.51,6.96,3.29,12.26,0.44,6.53,74.3,580.3,16.0138,16,55525,571,medium,253,4,35,Mountain,42.8715829,-112.4655637
Sarasota,Sarasota city,FL,Florida,1264175,United States,69c217c0-c628-4780-a368-9c99f1609823,2021,50.272,36.856,43.274,60.914,47.829,48,92,7.72,5.94,5.91,3.46,10.35,6.56,1.38,1.25,2.05,2.2,7.19,2.52,3.21,3.91,15.41,0,2.33,10.38,0.33,5.31,32.1,522.1,13.8138,14,56919,625,medium,279,15,30,South,27.3382567,-82.5437207
San Rafael,,CA,California,668364,United States,69a02132-adea-4fc1-bf44-41656328ad13,2021,0,0,0,0,0,0,0,33.34,28.5,43.45,0,15.41,28.26,17.92,0.3,16.49,13.99,49.52,18.16,23.42,24.24,55.2,34.16,11.94,37.02,20.03,27.53,393.2,83.7,27.53,28,58775,306,medium,136,24,25,Pacific,37.9810032,-122.5069297
Mooresville,Mooresville town,NC,North Carolina,3744220,United States,6929af06-50ae-46f1-b7a6-337d9352b720,2021,30,26.98,48.594,62.812,42.0965,42,40,18.95,10.38,8.81,1.59,0,8.59,2.68,4.23,0.61,8.04,12.89,5.74,5.97,5.65,14.44,0,0.32,9.01,0,9.36,127.3,364,15.9073,16,37835,579,small,256,2,35,South,35.5837175,-80.827755
State College,State College borough,PA,Pennsylvania,4273808,United States,68de2d50-c4f2-4569-a733-490f416f4008,2021,65.518,53.88,45.044,80.532,61.2435,61,29,56.41,43.41,48.23,73.1,88.95,57.17,59.66,46.69,0,16.37,49.3,48.16,37.79,56.41,70.22,36.96,38.98,50.77,52.69,51.43,127.3,25.1,53.3927,53,42275,33,small,19,1,25,Mid-Atlantic,40.7909941,-77.8568176
Newburyport,Newburyport city,MA,Massachusetts,2545245,United States,68d91ee5-dae2-4f90-801d-de4abb497a7c,2021,59.946,44.14,37.298,74.53,53.9785,54,31,13.93,10.25,6.47,0,0,8.36,10.83,2.49,9.42,5.95,9.37,15.34,9.54,22.52,38.75,0,0.96,24.22,0,12.68,57.3,170.1,20.9397,21,18077,453,small,200,5,30,New England,42.8121411,-70.886646
Norwalk,Norwalk city,CT,Connecticut,955990,United States,68a4ea26-cd96-47b7-9927-074a8f4245d5,2021,40.936,22.808,39.692,62.61,41.5115,42,57,8.1,5.19,14.4,3.85,0,9.05,1.71,0,3.22,2.63,4.51,2.99,2.83,2.86,15.27,0,2.83,10.49,1.79,5.86,22.2,618.7,12.9903,13,88599,640,medium,282,9,30,New England,41.0927388,-73.4197955
Normal,Normal town,IL,Illinois,1753234,United States,688fce31-d8c7-4162-8ead-9184939a4f60,2021,60,43.778,41.916,68.25,53.486,53,150,12.71,6.97,19.54,9.75,22.22,14.7,8.37,0.29,0.99,1.87,8.62,10.14,5.76,21.65,39.24,15.84,1.8,21.69,12.62,14.39,74.6,385.9,22.2092,22,54891,422,medium,187,5,30,Midwest,40.521327,-88.9887382
Odessa,,FL,Florida,1251100,United States,685ac98e-20b0-41fa-89f1-9f4952a1cb90,2021,0,0,0,0,0,0,0,46.05,46.78,40.86,0,0,43.82,0,18.36,37.44,0,33.66,0,23.65,24.24,55.83,12.23,48.39,38.71,0,35.11,3.6,92.7,35.11,35,8036,173,small,76,2,30,South,28.1823358,-82.5504099
Evansville,Evansville city,IN,Indiana,1822000,United States,68520fb0-7143-4265-b0b1-a640158bcaf8,2021,38.106,38.074,43.446,67.01,46.659,47,103,9.43,6.11,11.31,0,3.58,7.57,0.41,0,3.36,3.67,9.61,0.48,4,2.24,8.99,3.91,2.2,5.51,1.58,5.13,103.5,1242.7,13.4358,13,118588,630,medium,281,7,30,Midwest,37.9877366,-87.5347053
Hobe Sound,,FL,Florida,1230975,United States,683274fb-d25b-4859-8fd3-7b427476d02f,2021,0,0,0,0,0,0,0,22.92,21.9,11.62,0,0,16.76,23.58,0,0,4.78,14.67,0,12.66,15.4,13.31,0,0,13.31,0,16.03,1.5,182.9,16.03,16,14003,569,small,253,14,30,South,27.0726627,-80.1423675
Bloomington,Bloomington city,IN,Indiana,1805860,United States,6820b7b6-7c39-4e15-990e-a463735705d9,2021,64.242,62.22,43.656,77.674,61.948,62,134,38.04,38.92,33.66,7.86,62.66,38.72,36.81,36.51,15.23,20.6,34.1,18.59,27.43,34.47,58.66,16.74,8,31.32,34.61,34,520.7,154.8,39.5896,40,84116,112,medium,45,2,25,Midwest,39.1637003,-86.5242642
Richardson,Richardson city,TX,Texas,4861796,United States,670ab847-9a1c-4f7d-9cd8-e374c995ad06,2021,49.288,43.486,43.674,70.732,51.795,52,82,9.28,5,13.14,3.74,16.92,10.11,1.41,1.01,0.72,3.42,9.04,2.06,3.44,16.07,20.03,7.6,1.49,11.04,2.29,8.51,104.4,822.3,17.167,17,116432,541,medium,240,4,30,South,32.9722914,-96.7080688
Falmouth,Falmouth town,MA,Massachusetts,2523105,United States,66db9238-292e-475b-bd2a-878b7f6fedad,2021,54.57,48.118,41.936,84.342,57.2415,57,31,16.54,16.03,16.2,0,0,12.53,0,0,20.38,0.27,8.69,0,11.41,9.85,47.75,16.51,0,33.17,0,16.14,3.4,72.8,24.3603,24,31124,377,small,160,4,30,New England,41.5532,-70.6086
Iowa City,Iowa City city,IA,Iowa,1938595,United States,65cab414-1a54-43df-b618-ed297940d0fb,2021,69.196,62.574,43.192,83.556,64.6295,65,56,55.34,41.1,63.02,9.19,60.64,49.49,49.69,12.35,39.93,46.13,64.79,21.85,43.25,64.93,75.95,79.39,23.29,63.99,19.27,49.08,606.5,157.1,52.1899,52,74950,36,medium,10,1,25,Midwest,41.6556613,-91.5308588
Healdsburg,Healdsburg city,CA,California,633056,United States,64e7db44-998f-4dac-9e4a-5999ea72f7e0,2021,59.946,33.924,41.13,77.89,53.2225,53,31,54.74,51.14,57.96,0,0,54.55,43.77,0,39.38,42.79,37.46,0,40.37,0,58.08,0,33.51,48.63,44.35,48.4,90.6,27.7,49.3645,49,11845,45,small,25,6,25,Pacific,38.6225714,-122.8656918
Edinburgh,,SCT,Scotland,,Scotland,64252d58-a25e-401d-b4c3-f3a87c2eb50a,2021,43.41,36.8,42.8,76.8,49.96,50,220,47.78,,68.43,44.47,44.23,57.58,62.1,57.1,57.3,61.51,69.41,63.91,62.68,52.02,74.29,57.73,57.31,64.25,36.4,54.12,2078.9,470,53.288,53,515855,,large,,,,Europe,55.9533,-3.1883
Madison,Madison city,AL,Alabama,145784,United States,64091939-b32e-4258-9278-92d0ef08b0f7,2021,26.366,33.416,42.93,57.308,40.005,40,61,39.97,27.82,34.04,0,0,30.93,26.7,16.83,11.76,26.72,41.62,14.7,24.66,40.6,62.29,46.69,49.04,53.52,0,36.74,526.4,110.3,37.393,37,49327,145,small,66,2,25,South,34.7105329,-86.7622802
Hoover,Hoover city,AL,Alabama,135896,United States,634f3160-2ff8-44ca-816e-59637593b87e,2021,25.564,29.594,46.876,67.85,42.471,42,74,31.76,19,19.54,0,0,14.99,10.09,19,0,15.12,19.63,17.22,12.92,20.28,40.63,0,12.55,29.83,0,21.01,751.6,171.6,25.3022,25,85175,358,medium,163,6,25,South,33.3749631,-86.8060879
Duluth,Duluth city,MN,Minnesota,2717000,United States,6347f500-e0ad-4290-9d65-e9a580dbc3fb,2021,53.77,58.086,44.718,86.458,60.758,61,84,11.53,9.14,3.38,5.64,16.46,8.24,6.04,3.06,13.46,3.2,6.87,16.18,8.67,8.28,18.73,5.16,0.6,9.45,1.62,8.01,262.4,1086.2,18.5596,19,85915,506,medium,226,4,30,Midwest,46.7809189,-92.1321574
Medford,Medford city,OR,Oregon,4147000,United States,6310b6be-623a-43bc-91d0-b48ea20fe037,2021,44.774,33.094,47.564,68.502,48.4835,48,59,42.39,29.52,45.8,31.26,0,36.86,27.44,21.64,13.67,22.08,35.07,42.61,27.75,21.23,49.88,38.07,0,33.28,38.47,33.23,584.3,179.2,36.2807,36,81145,161,medium,68,3,25,Pacific,42.3368964,-122.8542443
Wenatchee,Wenatchee city,WA,Washington,5377105,United States,62deafcd-326c-41b8-b765-629cce359b6d,2021,53.968,59.266,44.346,84.822,60.6005,61,42,43.51,31.89,51.56,36.97,10.27,34.96,27.98,0.73,34.42,25.47,20.61,43.33,26.75,48.39,54.18,9.62,52.68,38.21,0.24,31.89,210,90.2,37.6321,38,34188,141,small,63,1,25,Pacific,47.4342182,-120.3283463
Cranberry,,PA,Pennsylvania,4216920,United States,62c8b322-67c5-4043-a21e-f2d2c0655374,2021,0,0,0,0,0,0,0,40.92,20.24,17.61,7.45,0,17.49,17.3,5,1.94,16.63,31.61,7.83,15.09,16.04,42.86,0,17.7,33.18,0,23.57,287.9,118.6,23.57,24,30875,394,small,172,14,25,Mid-Atlantic,40.685,-80.1071
Columbia,Columbia city,SC,South Carolina,4516000,United States,62c3b9b2-0d7c-4f04-9048-ac09d45c1b92,2021,39.858,33.71,50.708,78.144,50.605,51,106,12.6,7.48,10.21,3.45,14.49,9.43,4.75,1.99,3.82,2.98,5.09,2.49,3.86,9.74,13.46,4.18,0.03,6.85,0.93,7.18,252.5,1648.4,15.865,16,133273,581,medium,259,5,30,South,34.0405186,-80.9060995
Dixon,Dixon city,IL,Illinois,1720162,United States,60c2813d-2e17-47d2-aae9-039161ed3d59,2021,40.624,37.396,40.234,73.568,47.9555,48,32,12.71,4.25,6.15,0,0,5.2,0,0.45,1.39,1.94,0.21,0,0.88,1.27,8.67,2.95,0.72,4.68,0,4.72,12.9,172,13.3671,13,15433,634,small,283,17,30,Midwest,41.8444557,-89.4790438
Fresno,Fresno city,CA,California,627000,United States,608b1c9a-a173-4f95-a39d-59a98c4c40fb,2021,45.33,50.072,46.876,71.876,53.5385,54,116,27.8,20.57,47.8,6.26,22.17,28.99,13.44,6.03,17.8,13.89,26.86,16.38,17.41,9.97,32.24,33.05,1.95,24.95,0,18.69,2803.3,789.7,25.6597,26,525010,352,large,45,9,25,Pacific,36.7826736,-119.794492
Mount Gambier,,SA,South Australia,,Australia,606b6ec7-aa73-4665-87bf-b94ab4fba31a,2021,47.44,50,41.6,78.8,54.49,54,26,29.49,,28.07,21.41,0,26.64,14.55,0,12.16,15.02,34.03,21.7,20.67,35.54,65.41,0,8.66,43.58,17.3,28,25.4,304.2,33.578,34,26276,21,small,9,4,31,Australia,-37.8284,140.7807
Birmingham,Birmingham city,AL,Alabama,107000,United States,6028ba5b-f1e4-46d0-b843-d99f08a2451b,2021,34.048,39.256,47.262,71.872,48.1095,48,443,36.51,22.42,40.83,21.33,18.34,27.94,12.81,14.27,23.8,12.55,18.09,24.71,18.23,24.99,35.14,46.76,8.54,32.56,0.5,23.42,2429.2,754.1,28.3579,28,212297,285,medium,124,3,25,South,33.5274441,-86.799047
Napa,Napa city,CA,California,650258,United States,600bf1c6-36a1-4cd5-afd1-4a332b935a52,2021,54.166,47.514,43.318,65.518,52.629,53,58,37.7,33.56,52.83,12.2,0,39.32,16.59,24.25,21.24,24.02,37.21,23.03,25.15,39.66,62.17,49.99,0,56.49,30.79,37.59,449.1,107.4,40.5978,41,79074,101,medium,40,9,25,Pacific,38.2972195,-122.3011697
Columbus,Columbus city,OH,Ohio,3918000,United States,5fe46b51-8005-456f-8f9e-c47d3c49894d,2021,52.76,50.926,46.306,71.388,55.345,55,308,30.85,20.47,39.68,17.09,29.68,28.7,12.56,12.73,22.72,19.4,29.46,16.01,20.04,28.89,51.83,29.01,16.19,34.93,6.59,24.94,4697.8,1313.8,31.021,31,878553,232,large,32,1,25,Midwest,39.9852399,-82.9847747
Orlando,Orlando city,FL,Florida,1253000,United States,5fda4031-3447-4a44-b50f-2169913556a8,2021,46.528,46.898,46.632,72.222,53.07,53,180,24.5,17.58,38.85,12.95,14.56,23.96,16.4,13.25,9.87,12.14,22.31,21.29,16.56,29.9,40.87,26.99,16.6,29.94,6.86,21.78,1416.4,673.2,28.038,28,280832,294,medium,128,2,25,South,28.4246086,-81.2269791
Kent,Kent city,WA,Washington,5335415,United States,5fa33f8a-52ea-47f2-a340-221e2a559a39,2021,43.352,28.226,48.338,63.962,45.9695,46,94,18.56,10.35,35.38,2.49,33.65,22.98,25.69,15.04,8.64,8.23,23.89,3.3,15.66,26.22,60.07,18.52,7.42,32.37,1.98,19.6,714.6,263.8,24.8739,25,131118,364,medium,165,9,25,Pacific,47.3879703,-122.2127275
Asbury Park,,NJ,New Jersey,3401960,United States,5edbfba2-76e5-456d-9aca-37a5dd232d05,2021,0,0,0,0,0,0,0,69.44,67.67,82.65,0,0,75.16,0,0,47.39,9.08,0,2.48,13.45,0.17,78.58,0,0,48.36,58.56,44.2,57.3,16.4,44.2,44,15597,73,small,42,1,25,Mid-Atlantic,40.2228837,-74.0102318
Lansdale,Lansdale borough,PA,Pennsylvania,4241432,United States,5e83500d-0fc7-473a-bbd9-296fe6e83fb7,2021,46.726,32.62,44.642,53.572,44.39,44,28,18.8,16.75,31.14,0,0,23.95,2.12,2.36,20.75,11.32,11.55,15.44,11.15,3.22,49.56,0,0,19.82,20.17,16.32,89.9,21.7,21.934,22,16675,428,small,188,17,25,Mid-Atlantic,40.2416541,-75.2812079
Pella,Pella city,IA,Iowa,1962040,United States,5e52c946-94d1-419a-923d-d88279ee32c9,2021,55.622,45.272,36.07,51.48,47.111,47,83,84.02,70.05,79.94,0,90.58,78.46,77.34,89.13,78.79,9.53,52.84,0,63.88,0,86.71,97.84,0,91.9,0,78.37,114.5,31.6,72.1182,72,10231,3,small,3,1,25,Midwest,41.4051396,-92.9177548
